Locality / Area,Average Price Range (per sq. ft.),Primary Property Types,Flats,Plots,Houses/Villas,Commercial,Nearest Hospital Distance,Nearest School Distance,Lake Distance (Approx.),Luxury Apartments?,Dist. to MP Nagar/DB Mall,Dist. to AIIMS,Dist. to Airport,Dist. to Bhopal Jn. Rly Station
Nur Mahal Int.,"₹2,900 – ₹4,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.6 km,1.2 km,1.2 km (Upper Lake),FALSE,6.1 km,9.1 km,12.1 km,3.3 km
Lake View Blk C,"₹3,600 – ₹6,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,1.4 km,0.4 km (Upper Lake),TRUE,7.0 km,10.0 km,13.0 km,4.3 km
Lakherapura Mkt,"₹3,300 – ₹5,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.0 km,0.7 km,0.8 km (Lower Lake),FALSE,5.4 km,8.4 km,11.4 km,2.1 km
Sarai Jumerati Int,"₹3,100 – ₹4,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.2 km,0.9 km,0.9 km (Lower Lake),FALSE,5.6 km,8.6 km,11.6 km,2.2 km
Peer Gate Old Blks,"₹3,400 – ₹5,300","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,0.9 km,0.6 km,0.6 km (Lower Lake),FALSE,5.3 km,8.3 km,11.3 km,2.0 km
Pratap Nagar Blk E,"₹2,500 – ₹4,100","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,2.3 km,2.9 km (Shahpura),FALSE,3.6 km,4.6 km,18.6 km,8.6 km
Bharat Nagar Ext,"₹2,800 – ₹4,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.3 km,2.0 km,2.6 km (Shahpura),FALSE,3.3 km,4.3 km,18.3 km,8.3 km
Fortune Blk D,"₹3,000 – ₹5,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.6 km,2.0 km,4.4 km (Shahpura),TRUE,7.2 km,5.7 km,21.7 km,12.2 km
Bhadbhada Corr. B,"₹3,400 – ₹6,200","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,1.4 km,2.6 km,0.7 km (Kaliasot Lake),TRUE,9.2 km,8.0 km,18.2 km,10.7 km
Barkhedi Kalan S2,"₹2,700 – ₹4,700","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,3.4 km,2.3 km,1.7 km (Kerwa Dam),FALSE,11.7 km,10.4 km,20.7 km,13.0 km
Thua Kheda Blk C,"₹2,100 – ₹3,600","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.0 km,3.6 km,4.0 km (Kaliasot Dam),FALSE,9.3 km,8.1 km,24.3 km,14.3 km
Dehriya Kalan Out,"₹1,800 – ₹3,200",Villa,FALSE,FALSE,TRUE,FALSE,3.4 km,4.0 km,4.4 km (Kaliasot Dam),FALSE,9.8 km,8.6 km,24.8 km,14.8 km
Kalyanpur Sec,"₹2,100 – ₹3,800","Flat, Villa",TRUE,FALSE,TRUE,FALSE,2.7 km,3.1 km,3.4 km (Kaliasot Dam),FALSE,9.0 km,7.8 km,24.0 km,14.0 km
Bagli Village Z2,"₹1,700 – ₹3,000","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.4 km,3.0 km,4.0 km (Shahpura),FALSE,7.4 km,6.0 km,22.4 km,12.4 km
Amaltas Gold Sec B,"₹2,700 – ₹4,800","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.0 km,3.4 km,3.7 km (Kaliasot Dam),FALSE,9.4 km,8.2 km,23.4 km,14.4 km
Panchwati Pocket C,"₹2,000 – ₹3,600","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,3.1 km,2.4 km,2.7 km (Upper Lake),FALSE,12.4 km,15.4 km,2.2 km,8.4 km
Rajharsh Blk D,"₹2,100 – ₹3,900","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,1.0 km,1.4 km,2.7 km (Kaliasot Dam),FALSE,8.7 km,7.7 km,22.7 km,13.7 km
Shastri Nagar Ext,"₹2,700 – ₹4,400","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.0 km,1.6 km,2.3 km (Lower Lake),FALSE,4.0 km,6.4 km,17.0 km,7.0 km
Nehru Nagar Sec C,"₹3,000 – ₹4,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.7 km,1.3 km,2.4 km (Kaliasot Outlet),FALSE,6.0 km,7.0 km,16.7 km,8.7 km
Trilanga Ext.,"₹3,100 – ₹5,800","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,0.8 km,1.1 km,1.4 km (Shahpura),TRUE,5.4 km,4.4 km,21.4 km,10.4 km
Amrawad Blk B,"₹2,400 – ₹4,300","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.4 km,2.7 km,5.0 km (Shahpura),FALSE,8.7 km,7.4 km,22.7 km,12.7 km
Railway Blk X,"₹2,300 – ₹3,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,0.7 km,0.6 km,5.2 km (Upper Lake),FALSE,7.2 km,10.2 km,11.7 km,2.4 km
Dwarka Back Line,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.0 km,1.6 km,4.0 km (Lower Lake),FALSE,5.7 km,8.7 km,14.7 km,2.0 km
Karond Village Out,"₹2,000 – ₹3,400",Villa,FALSE,FALSE,TRUE,FALSE,3.0 km,4.0 km,7.7 km (Upper Lake),FALSE,11.7 km,15.0 km,13.0 km,6.7 km
Nishatpura Yard,"₹2,100 – ₹3,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.1 km,5.4 km (Upper Lake),FALSE,7.5 km,10.5 km,11.8 km,2.8 km
Nabibagh Farm,"₹2,200 – ₹3,600",Villa,FALSE,FALSE,TRUE,FALSE,3.1 km,4.0 km,7.7 km (Upper Lake),FALSE,10.7 km,13.7 km,12.7 km,6.4 km
Prempura Lake Line,"₹3,000 – ₹5,500","Villa, Land",FALSE,TRUE,TRUE,FALSE,4.0 km,2.7 km,0.6 km (Upper Lake),FALSE,6.7 km,8.4 km,14.7 km,6.4 km
Mendori Rd Blks,"₹1,800 – ₹3,200","Villa, Land",FALSE,TRUE,TRUE,FALSE,4.0 km,2.7 km,2.2 km (Kerwa Dam),FALSE,13.7 km,12.4 km,22.7 km,15.0 km
Ratibad College,"₹1,900 – ₹3,400","Villa, Land",FALSE,TRUE,TRUE,FALSE,0.7 km,1.3 km,2.7 km (Kerwa Dam),FALSE,14.2 km,13.7 km,21.2 km,15.2 km
Neelbad Ext Blk,"₹2,400 – ₹4,200","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,1.4 km,2.2 km,3.2 km (Kaliasot Dam),FALSE,11.7 km,11.2 km,20.7 km,13.2 km
Kokta Byp Sec 2,"₹1,600 – ₹3,000",Villa,FALSE,FALSE,TRUE,FALSE,5.0 km,4.4 km,3.7 km (Hataikheda Lake),FALSE,12.2 km,14.2 km,21.7 km,12.7 km
Bilkhiriya Link,"₹1,500 – ₹2,800",Villa,FALSE,FALSE,TRUE,FALSE,1.2 km,3.4 km,12.2 km (Lower Lake),FALSE,14.7 km,16.7 km,24.7 km,15.2 km
Sukhi Sewaniya Int,"₹1,400 – ₹2,600",Villa,FALSE,FALSE,TRUE,FALSE,6.7 km,5.0 km,14.2 km (Upper Lake),FALSE,15.7 km,18.7 km,16.7 km,11.7 km
Mubarakpur Old,"₹1,600 – ₹3,000",Villa,FALSE,FALSE,TRUE,FALSE,5.0 km,3.7 km,5.7 km (Upper Lake),FALSE,14.7 km,17.7 km,7.7 km,9.7 km
Gandhi Nagar Core,"₹2,200 – ₹4,000","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,1.1 km,1.4 km,3.7 km (Upper Lake),FALSE,12.7 km,15.7 km,1.7 km,8.7 km
Bairagarh Lalghati,"₹2,600 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,2.1 km,2.0 km (Upper Lake),FALSE,12.2 km,15.2 km,4.2 km,7.2 km
Khajuri Old Byp,"₹1,400 – ₹2,600","Villa, Land",FALSE,TRUE,TRUE,FALSE,7.7 km,1.2 km,8.2 km (Upper Lake),FALSE,20.7 km,23.7 km,9.7 km,15.7 km
Awadhpuri Outer C,"₹2,500 – ₹4,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.4 km,3.2 km,7.4 km (Lower Lake),FALSE,8.7 km,10.2 km,23.2 km,12.2 km
Khajuri Kalan Ind,"₹1,800 – ₹3,200",Villa,FALSE,FALSE,TRUE,FALSE,2.1 km,1.6 km,8.7 km (Lower Lake),FALSE,10.7 km,13.2 km,21.7 km,11.7 km
Sonagiri Sec D,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,1.7 km,6.7 km (Lower Lake),FALSE,7.7 km,10.4 km,19.4 km,8.4 km
Piplani Sec C,"₹2,700 – ₹4,400","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.6 km,1.4 km,6.0 km (Lower Lake),FALSE,6.0 km,8.7 km,18.2 km,7.2 km
Anand Nagar Outer,"₹2,300 – ₹3,900","Flat, Villa",TRUE,FALSE,TRUE,FALSE,1.3 km,1.7 km,7.7 km (Lower Lake),FALSE,8.7 km,10.7 km,21.2 km,9.7 km
Bagroda Ind. Corr,"₹1,500 – ₹2,600","Villa, Land",FALSE,TRUE,TRUE,FALSE,5.2 km,4.5 km,12.5 km (Lower Lake),FALSE,16.5 km,14.5 km,30.5 km,21.5 km
Barkheda Sec H,"₹2,500 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.0 km,2.4 km,5.7 km (Lower Lake),FALSE,7.7 km,5.7 km,21.7 km,11.2 km
Rapadia Village,"₹1,600 – ₹2,800","Villa, Land",FALSE,TRUE,TRUE,FALSE,4.8 km,4.5 km,7.0 km (Shahpura),FALSE,11.8 km,8.2 km,26.8 km,16.8 km
Spring Valley,"₹2,600 – ₹4,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.8 km,3.2 km,3.5 km (Kaliasot Dam),TRUE,8.5 km,7.2 km,23.5 km,13.5 km
Aakriti Eco City,"₹3,000 – ₹5,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.2 km,1.8 km,4.0 km (Shahpura),TRUE,6.8 km,5.2 km,21.8 km,11.8 km
Canal Kinship,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.0 km,3.4 km,4.2 km (Kaliasot Dam),FALSE,9.3 km,8.1 km,24.3 km,14.3 km
Pallavi Nagar,"₹2,500 – ₹4,200","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.1 km,2.5 km,3.2 km (Kaliasot Dam),FALSE,8.2 km,7.0 km,23.2 km,13.2 km
Amarnath Colony,"₹2,300 – ₹3,700","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.4 km,2.8 km,3.5 km (Kaliasot Dam),FALSE,8.5 km,7.3 km,23.5 km,13.5 km
Sai Vihar Colony,"₹2,400 – ₹3,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.6 km,3.0 km,3.7 km (Kaliasot Dam),FALSE,8.7 km,7.5 km,23.7 km,13.7 km
Janki Nagar,"₹2,300 – ₹3,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.1 km,1.5 km,2.2 km (Kaliasot Dam),FALSE,7.2 km,6.0 km,22.2 km,12.2 km
ISRO Colony,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.2 km,1.5 km,4.2 km (Shahpura),FALSE,6.0 km,4.6 km,21.0 km,11.0 km
Rajat Nagar,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.9 km (Kaliasot Dam),FALSE,8.9 km,7.7 km,23.9 km,13.9 km
Mohan Nagar,"₹2,500 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.5 km,2.9 km,3.6 km (Kaliasot Dam),FALSE,8.6 km,7.4 km,23.6 km,13.6 km
Top Residency,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,2.1 km,1.8 km (Shahpura),FALSE,4.2 km,3.9 km,19.2 km,9.2 km
Raisina Zone,"₹2,700 – ₹4,400","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,1.8 km,2.2 km (Shahpura),FALSE,3.9 km,3.1 km,18.9 km,8.9 km
Housing Board Karond,"₹2,200 – ₹3,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,2.8 km,6.4 km (Upper Lake),FALSE,10.2 km,13.2 km,11.8 km,5.2 km
Ibrahimganj Int.,"₹3,000 – ₹4,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.5 km,1.2 km,1.1 km (Upper Lake),FALSE,5.8 km,8.8 km,11.8 km,2.5 km
Ashok Housing Soc,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,3.8 km (Lower Lake),FALSE,3.2 km,6.0 km,15.0 km,3.2 km
Ambedkar Nagar,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,2.2 km (Lower Lake),FALSE,3.2 km,6.2 km,15.0 km,5.0 km
Chiklod Corridor,"₹1,700 – ₹3,000","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.2 km,4.0 km,8.5 km (Lower Lake),FALSE,10.5 km,12.5 km,21.5 km,11.0 km
Fortune Golden,"₹2,500 – ₹4,200","Villa, Land",FALSE,TRUE,TRUE,FALSE,2.8 km,3.1 km,5.2 km (Shahpura),FALSE,8.5 km,7.2 km,23.5 km,13.5 km
Swadesh Orchard,"₹2,400 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,3.1 km,3.4 km,5.5 km (Shahpura),FALSE,8.8 km,7.6 km,23.8 km,13.8 km
Faith Imperial,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.2 km,2.6 km,3.0 km (Kaliasot Dam),FALSE,8.2 km,7.0 km,23.2 km,13.2 km
Signature S Nine,"₹2,700 – ₹4,400","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,2.8 km,3.2 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
Fortune Kasturi,"₹2,900 – ₹4,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),TRUE,7.0 km,5.5 km,21.5 km,12.0 km
Trebhuvan Hari,"₹1,800 – ₹3,200","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.8 km,4.2 km,4.8 km (Kaliasot Dam),FALSE,9.8 km,8.6 km,24.8 km,14.8 km
Shalimar Fortleza,"₹3,200 – ₹5,400","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.8 km,1.5 km,1.8 km (Shahpura),TRUE,3.8 km,3.5 km,18.8 km,8.8 km
IBD Hallmark,"₹2,400 – ₹4,200","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,3.2 km,3.5 km,5.8 km (Shahpura),FALSE,8.8 km,6.5 km,23.8 km,13.8 km
Globus Coral Woods,"₹2,500 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.5 km,3.8 km,6.0 km (Shahpura),FALSE,9.1 km,6.8 km,24.1 km,14.1 km
Nikhil Nestles,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.0 km,3.3 km,5.6 km (Shahpura),FALSE,8.6 km,6.3 km,23.6 km,13.6 km
Royal Palms Sector,"₹2,700 – ₹4,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.6 km,2.9 km,5.2 km (Shahpura),TRUE,8.2 km,5.9 km,23.2 km,13.2 km
Parke Serene Zone,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.4 km,3.7 km,5.9 km (Shahpura),FALSE,9.0 km,6.7 km,24.0 km,14.0 km
Centurion Sky,"₹2,800 – ₹4,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,2.4 km,4.8 km (Shahpura),FALSE,7.7 km,5.4 km,22.7 km,12.7 km
Nikunj Heights,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
Ambreen Homes,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.0 km,3.4 km,4.0 km (Kaliasot Dam),FALSE,8.6 km,7.4 km,23.6 km,13.6 km
Sarah Homes Zone,"₹2,300 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.2 km,3.6 km,4.2 km (Kaliasot Dam),FALSE,8.8 km,7.6 km,23.8 km,13.8 km
Maple Tree Block,"₹2,700 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,3.0 km,3.6 km (Kaliasot Dam),FALSE,8.2 km,7.0 km,23.2 km,13.2 km
Mahadev Parisar,"₹3,500 – ₹5,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.2 km,1.9 km,1.8 km (Shahpura),FALSE,4.5 km,4.8 km,19.5 km,9.5 km
Kilendev Towers,"₹3,600 – ₹5,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.0 km,1.7 km,1.6 km (Shahpura),FALSE,4.2 km,4.5 km,19.2 km,9.2 km
Sampatti Greens,"₹2,200 – ₹3,800","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.5 km,3.9 km,4.5 km (Kaliasot Dam),FALSE,9.5 km,8.3 km,24.5 km,14.5 km
Girnar Hills Phase,"₹1,800 – ₹3,200",Villa,FALSE,FALSE,TRUE,FALSE,3.8 km,4.2 km,4.8 km (Kaliasot Dam),FALSE,9.8 km,8.6 km,24.8 km,14.8 km
Sheetalnath Block,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.0 km,3.4 km,4.0 km (Kaliasot Dam),FALSE,9.0 km,7.8 km,24.0 km,14.0 km
Soumya Parklands,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.8 km,7.6 km,23.8 km,13.8 km
Virasha Nisarga,"₹2,800 – ₹4,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.9 km,2.3 km,2.8 km (Kaliasot Dam),TRUE,7.5 km,6.2 km,22.5 km,12.5 km
Pradhan Pristine,"₹2,600 – ₹4,100","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,2.5 km,3.0 km (Kaliasot Dam),FALSE,7.7 km,6.4 km,22.7 km,12.7 km
Vardhman Fairmont,"₹2,500 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.3 km,2.7 km,3.2 km (Kaliasot Dam),FALSE,7.9 km,6.6 km,22.9 km,12.9 km
Rosewood Enclave 2,"₹2,600 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.5 km,2.9 km,3.4 km (Kaliasot Dam),FALSE,8.1 km,6.8 km,23.1 km,13.1 km
Pacific Blue Enc.,"₹2,700 – ₹4,300","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.0 km,2.4 km,2.9 km (Kaliasot Dam),FALSE,7.6 km,6.3 km,22.6 km,12.6 km
Aamra Nivaasa,"₹1,900 – ₹3,400",Villa,FALSE,FALSE,TRUE,FALSE,3.6 km,4.0 km,4.6 km (Kaliasot Dam),FALSE,9.6 km,8.4 km,24.6 km,14.6 km
Ganga Heights Line,"₹1,800 – ₹3,200",Villa,FALSE,FALSE,TRUE,FALSE,3.8 km,4.2 km,4.8 km (Kaliasot Dam),FALSE,9.8 km,8.6 km,24.8 km,14.8 km
Sigma Greens,"₹2,100 – ₹3,600","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.2 km,3.6 km,4.2 km (Kaliasot Dam),FALSE,9.2 km,8.0 km,24.2 km,14.2 km
Girnar Valley Blk,"₹2,200 – ₹3,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.1 km,3.5 km,4.1 km (Kaliasot Dam),FALSE,9.1 km,7.9 km,24.1 km,14.1 km
Eco Green Park,"₹2,300 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.9 km,3.3 km,3.9 km (Kaliasot Dam),FALSE,8.9 km,7.7 km,23.9 km,13.9 km
Kanha Towers Strip,"₹2,800 – ₹4,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,1.8 km,2.2 km (Shahpura),FALSE,3.8 km,3.2 km,18.8 km,8.8 km
Amrit South Ave,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,2.1 km,2.5 km (Shahpura),FALSE,4.1 km,3.5 km,19.1 km,9.1 km
Masters Residency,"₹2,400 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,2.3 km,2.7 km (Shahpura),FALSE,4.3 km,3.7 km,19.3 km,9.3 km
Vishnu Hitech City,"₹2,500 – ₹4,100","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.5 km,2.2 km,2.6 km (Shahpura),FALSE,4.2 km,3.6 km,19.2 km,9.2 km
Krishna Kunj,"₹1,800 – ₹3,200","Villa, Land",FALSE,TRUE,FALSE,FALSE,3.5 km,3.1 km,3.5 km (Shahpura),FALSE,5.2 km,4.6 km,20.2 km,10.2 km
Indus Realty Comp,"₹2,000 – ₹3,400","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.2 km,2.8 km,3.2 km (Shahpura),FALSE,4.9 km,4.3 km,19.9 km,9.9 km
The Prospera Belt,"₹2,700 – ₹4,300","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.2 km,1.9 km,2.3 km (Shahpura),FALSE,3.9 km,3.3 km,18.9 km,8.9 km
Ayodhya Dham Par,"₹1,900 – ₹3,400","Villa, Land",FALSE,TRUE,FALSE,FALSE,2.4 km,2.8 km,8.0 km (Lower Lake),FALSE,8.2 km,11.2 km,17.2 km,8.2 km
Phoenix Corp Park,"₹3,200 – ₹5,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,2.2 km,7.4 km (Lower Lake),FALSE,7.6 km,10.6 km,16.6 km,7.6 km
Crystal Const.,"₹2,300 – ₹3,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,7.7 km (Lower Lake),FALSE,7.9 km,10.9 km,16.9 km,7.9 km
Regal Group Layout,"₹2,400 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.2 km,2.6 km,7.8 km (Lower Lake),FALSE,8.0 km,11.0 km,17.0 km,8.0 km
Sawariya Homes,"₹1,800 – ₹3,000",Villa,FALSE,FALSE,TRUE,FALSE,3.2 km,3.6 km,8.8 km (Lower Lake),FALSE,9.0 km,12.0 km,18.0 km,9.0 km
Rajora Infra Enc.,"₹1,700 – ₹2,900",Villa,FALSE,FALSE,TRUE,FALSE,3.5 km,3.9 km,9.1 km (Lower Lake),FALSE,9.3 km,12.3 km,18.3 km,9.3 km
Anand Kapoor Comp,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,3.0 km,8.2 km (Lower Lake),FALSE,8.4 km,11.4 km,17.4 km,8.4 km
Tilak Raj Kapoor,"₹2,300 – ₹3,700","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,8.4 km (Lower Lake),FALSE,8.6 km,11.6 km,17.6 km,8.6 km
B2 Grow IT Corr,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.0 km,2.4 km,7.6 km (Lower Lake),FALSE,7.8 km,10.8 km,16.8 km,7.8 km
AKVN Bagroda Road,"₹1,500 – ₹2,500","Villa, Land",FALSE,TRUE,TRUE,FALSE,5.5 km,4.8 km,12.8 km (Lower Lake),FALSE,16.5 km,14.5 km,30.5 km,21.5 km
Prabhat Petrol,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,3.8 km (Lower Lake),FALSE,3.5 km,6.5 km,15.5 km,3.5 km
Lakshya Downtown,"₹2,000 – ₹3,500","Villa, Land",FALSE,TRUE,FALSE,FALSE,2.2 km,2.6 km,4.6 km (Lower Lake),FALSE,4.3 km,7.3 km,16.3 km,4.3 km
Agrawal Sagar,"₹2,500 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,2.2 km,7.2 km (Lower Lake),FALSE,7.4 km,10.4 km,16.4 km,7.4 km
Vrindavan Garden,"₹2,400 – ₹4,100","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.0 km,2.4 km,7.4 km (Lower Lake),FALSE,7.6 km,10.6 km,16.6 km,7.6 km
Century Heights,"₹2,500 – ₹4,300","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.9 km,2.3 km,7.3 km (Lower Lake),FALSE,7.5 km,10.5 km,16.5 km,7.5 km
Shahpura Lake View,"₹4,000 – ₹6,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,0.6 km,0.9 km,0.3 km (Shahpura),TRUE,4.3 km,4.0 km,19.5 km,9.5 km
10 No. Market Enc,"₹3,800 – ₹6,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.1 km,0.8 km,1.8 km (Shahpura),FALSE,2.5 km,3.2 km,17.5 km,7.5 km
MANIT Campus Per,"₹3,200 – ₹5,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,2.2 km,1.5 km (Shahpura),FALSE,3.8 km,4.2 km,16.5 km,7.2 km
Barkheda Sec A,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,4.5 km (Lower Lake),FALSE,6.5 km,4.5 km,20.5 km,10.0 km
Barkheda Sec B,"₹2,400 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,1.7 km,4.8 km (Lower Lake),FALSE,6.8 km,4.8 km,20.8 km,10.3 km
Barkheda Sec D,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.6 km,1.2 km,4.3 km (Lower Lake),FALSE,6.3 km,4.3 km,20.3 km,9.8 km
Govindpura Sec H,"₹2,500 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,1.9 km,5.7 km (Lower Lake),FALSE,5.7 km,7.7 km,18.7 km,6.7 km
Govindpura Sec N,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,2.1 km,5.9 km (Lower Lake),FALSE,5.9 km,7.9 km,18.9 km,6.9 km
Karond Mandi Sec A,"₹2,300 – ₹3,700","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.2 km,3.2 km,6.8 km (Upper Lake),FALSE,10.2 km,13.2 km,11.8 km,5.2 km
Karond Mandi Sec C,"₹2,200 – ₹3,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.4 km,3.4 km,7.0 km (Upper Lake),FALSE,10.4 km,13.4 km,12.0 km,5.4 km
